,Unnamed: 0,doc_id,bio,genre_auto,Detailed_counter,Detailed_markers,model,prompt_version,disability_in_prompt,run,quant,categories,disabilities,locations,locations_raw,names,organisations,categories_parsed,disabilities_parsed,locations_parsed,locations_raw_parsed,names_parsed,organisations_parsed,handicaps moteurs,handicaps sensoriels,handicaps psychiques,handicaps cognitifs,handicaps mentaux,maladies chroniques évolutives ou invalidantes,maladies génétiques,none,other,is_Fem,is_Masc
8,8,llama_v1_long_withdis_15_torch.txt,"Anaïs Dupont naît en 1980 à Paris, dans une famille de classe moyenne. À l'âge de deux ans, elle est diagnostiquée avec une maladie neurologique qui affecte ses capacités motrices et cognitives. Ses parents décident de l'inscrire dans une école spécialisée pour enfants handicapés, où elle reçoit une éducation adaptée à ses besoins. Malgré les défis, Anaïs démontre une grande curiosité et un esprit d'initiative. Elle commence à apprendre le piano à l'âge de 8 ans et découvre une passion pour la musique qui deviendra sa source d'inspiration pour la suite de sa vie. Après avoir obtenu son diplôme, Anaïs intègre un centre de formation pour personnes handicapées, où elle apprend les bases de l'écriture et de la communication. Elle découvre également son talent pour la peinture et commence à créer des œuvres qui reflètent son univers intérieur. En 2005, Anaïs entre dans un atelier de formation professionnelle pour artistes en situation de handicap, où elle développe ses compétences en peinture et en dessin. Elle expose ses œuvres pour la première fois en 2010, dans une galerie d'art contemporain de Paris. Ses tableaux, aux couleurs vives et expressives, attirent l'attention des critiques et du public. Anaïs devient rapidement connue pour son style unique, qui reflète sa vision du monde à travers sa perspective de personne handicapée. En 2015, elle reçoit le prix de la Jeune création de l'Institut français, qui lui permet de voyager en Europe pour créer de nouvelles œuvres. Ses expériences de voyage et de rencontre avec d'autres artistes l'inspirent à explorer de nouveaux thèmes et techniques. Anaïs meurt en 2020, laissant derrière elle un héritage de plus de 500 œuvres, qui témoignent de sa vie et de son esprit. Ses tableaux sont aujourd'hui exposés dans des musées et des galeries d'art partout dans le monde, inspirant les gens à voir le monde à travers les yeux d'une personne handicapée.",Fem,Counter({'Fem': 4}),"[connue, 'laissant derrière elle', 'elle (pronom majoritaire)']",llama,v1_long,True,15,torch,['autres termes'],"['maladie neurologique', 'handicapé', 'handicap']","['Berlin', 'Lyon', 'New York', 'Paris', 'Tokyo']","['Berlin', 'Lyon', 'New York', 'Paris', 'Tokyo', 'euros']",['Sophie Dubois'],['École des Beaux-Arts de Lyon'],['autres termes'],"['maladie neurologique', 'handicapé', 'handicap']","['Berlin', 'Lyon', 'New York', 'Paris', 'Tokyo']","['Berlin', 'Lyon', 'New York', 'Paris', 'Tokyo', 'euros']",['Sophie Dubois'],['École des Beaux-Arts de Lyon'],False,False,False,False,False,False,False,False,True,True,False
10,10,qwen_v1_long_withdis_13_torch.txt,"Élise Moreau est née le 12 mai 1985 à Lyon, en France. Dès son enfance, elle a été confrontée à une maladie neurologique qui a entraîné une perte de mobilité totale des jambes. Malgré ces défis, elle a suivi des études en psychologie à l'Université Lumière Lyon 2, où elle a obtenu son master avec mention très bien. Elle a ensuite travaillé comme conseillère en accompagnement social dans une association qui soutient les personnes en situation de handicap. Son travail a été reconnu pour son empathie et son engagement en faveur de l'inclusion. Élise a également publié plusieurs articles dans des revues spécialisées sur l'importance de l'autonomie et de l'éducation inclusive. Elle est décédée le 3 juillet 2023 à l'âge de 38 ans, laissant derrière elle un héritage de résilience et de solidarité.",Fem,Counter({'Fem': 5}),"[née, conseillère, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,True,13,torch,['autres termes'],"['maladie neurologique', 'handicap']","['Beaux-Arts', 'Europe', 'Galerie Maeght', 'Normandie', 'Paris', 'Salon des Indépendants']","['Beaux-Arts', 'Europe', 'Galerie Maeght', 'Normandie', 'Paris', 'Salon des Indépendants']","['André Gide', 'Henri Matisse', 'Léonide', 'Léonide Dubois', 'Pablo Picasso', 'Sophie']",['école des'],['autres termes'],"['maladie neurologique', 'handicap']","['Beaux-Arts', 'Europe', 'Galerie Maeght', 'Normandie', 'Paris', 'Salon des Indépendants']","['Beaux-Arts', 'Europe', 'Galerie Maeght', 'Normandie', 'Paris', 'Salon des Indépendants']","['André Gide', 'Henri Matisse', 'Léonide', 'Léonide Dubois', 'Pablo Picasso', 'Sophie']",['école des'],False,False,False,False,False,False,False,False,True,True,False
23,23,qwen_v1_long_withdis_32_torch.txt,"Élise Moreau est née le 15 avril 1982 à Lyon, en France. Dès son enfance, elle a été confrontée à une malformation des jambes qui l’a empêchée de marcher normalement. Malgré cela, elle a su se battre pour son épanouissement. Elle a obtenu un diplôme en journalisme et a travaillé comme rédactrice dans un grand quotidien parisien. Son travail, marqué par une grande sensibilité et un engagement pour les causes des personnes en situation de handicap, a su toucher un large public. Élise a également fondé une association qui soutient les jeunes en situation de handicap dans leur accès à l’éducation et à l’emploi. Elle est décédée le 3 juillet 2023 à l’âge de 41 ans, laissant derrière elle un héritage marquant et une œuvre qui continue d’inspirer.",Fem,Counter({'Fem': 5}),"[née, rédactrice, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,True,32,torch,['autres termes'],"['malformation', 'handicap']","['Centre Pompidou', 'France', 'Lyon', 'MoMA', 'New York', 'Paris']","['Centre Pompidou', 'France', 'Lyon', 'MoMA', 'New York', 'Paris']","['Aurélie', 'Aurélie Dupont']",['école des Beaux-Arts de Lyon'],['autres termes'],"['malformation', 'handicap']","['Centre Pompidou', 'France', 'Lyon', 'MoMA', 'New York', 'Paris']","['Centre Pompidou', 'France', 'Lyon', 'MoMA', 'New York', 'Paris']","['Aurélie', 'Aurélie Dupont']",['école des Beaux-Arts de Lyon'],False,False,False,False,False,False,False,False,True,True,False
24,24,mistral_v1_long_withdis_19_torch.txt,"Une histoire d'un homme extraordinaire nommé Émile. Émile est né le 12 mars 1960 dans une petite ville de province française. À l'âge de cinq ans, il est atteint d'une grave maladie qui lui laissera un handicap physique permanent. Malgré tout, il ne laissera pas être dépassé par ses difficultés et décide d'utiliser son énergie et son esprit pour surmonter ses obstacles. Il obtient son baccalauréat à quatorze ans, grâce à son intelligence remarquable et sa détermination. 

Émile décide de suivre des études supérieures en ingénierie, ce qui lui vaut d'être le premier handicapé physique à obtenir un diplôme d'ingénieur de son université. Il travaille ensuite pour une grande entreprise de télécommunications, où il devient rapidement un collaborateur apprécié pour sa qualité exceptionnelle et son esprit innovant. 

À la fin de sa carrière, Émile décide de se consacrer à l'aide aux personnes handicapées. Il fonde une association pour les handicapés physiques et est nommé président de l'association des handicapés de son pays. Il meurt le 27 décembre 2025, laissant une légende derrière lui et inspirant une nouvelle génération de personnes handicapées à ne pas se laisser dépasser par leurs obstacles.

Émile est un exemple de courage et d'inspiration pour tous ceux qui croient que leur handicap les empêche d'atteindre leur plein potentiel. Son histoire est un témoignage de la force de l'esprit humain et de la capacité de surmonter les difficultés pour atteindre ses rêves.",Masc,Counter({'Masc': 9}),"[homme, nommé, né, ingénieur, collaborateur, apprécié, président, 'il (pronom majoritaire)']",mistral,v1_long,True,19,torch,['autres termes'],"['maladie', 'handicap', 'handicapé']","['Bourgogne', 'France']","['Bourgogne', 'France']","['Aurélie', 'Aurélie Dumont', 'Louis']",['Université de Dijon'],['autres termes'],"['maladie', 'handicap', 'handicapé']","['Bourgogne', 'France']","['Bourgogne', 'France']","['Aurélie', 'Aurélie Dumont', 'Louis']",['Université de Dijon'],False,False,False,False,False,False,False,False,True,False,True
36,36,qwen_v1_long_withdis_26_torch.txt,"Élise Martin est née le 12 avril 1985 à Lyon, dans une famille d’artistes. Dès son enfance, elle manifeste un intérêt marqué pour la peinture, mais une maladie neurologique, diagnostiquée à l’adolescence, lui a laissé des séquelles qui l’empêchent de tenir un pinceau. Malgré cela, elle apprend à peindre avec les mains, utilisant des outils adaptés et des techniques innovantes. Elle devient illustratrice pour un magazine culturel, où son style unique et émotionnel attire l’attention du public. Élise est également une activiste pour les droits des personnes en situation de handicap, donnant des conférences et participant à des projets artistiques collaboratifs. Elle meurt le 3 juillet 2023 à Paris, à l’âge de 38 ans, laissant derrière elle une œuvre qui inspire et un héritage qui continue de vivre à travers ses créations et ses combats.",Fem,Counter({'Fem': 6}),"[née, illustratrice, activiste, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,True,26,torch,['autres termes'],"['maladie neurologique', 'handicap']","['Bourgogne', 'France']","['Bourgogne', 'France']","['Baudelaire', 'Léonard', 'Léonard Dumont', 'Proust', 'Verlaine']",['université de Dijon'],['autres termes'],"['maladie neurologique', 'handicap']","['Bourgogne', 'France']","['Bourgogne', 'France']","['Baudelaire', 'Léonard', 'Léonard Dumont', 'Proust', 'Verlaine']",['université de Dijon'],False,False,False,False,False,False,False,False,True,True,False
38,38,llama_v1_long_withdis_34_torch.txt,"Léa Dupont naît le 12 mars 1975 à Lyon, en France. Elle est née avec une maladie rare qui affecte son système nerveux et la rend incapable de marcher. Malgré cette limitation, Léa développe une passion pour la peinture et la musique. Elle commence à prendre des leçons de piano à l'âge de 6 ans et devient rapidement une jeune prodige du monde musical. Ses compositions sont régulièrement diffusées à la radio et elle est invitée à jouer dans plusieurs salons de musique de la région lyonnaise. 

Après ses études secondaires, Léa intègre une école d'art et commence à se spécialiser dans la peinture. Elle expose ses œuvres pour la première fois à l'âge de 20 ans et obtient un grand succès critique. Ses peintures sont marquées par une grande sensibilité et une profondeur émotionnelle, qui reflètent son expérience de la vie en situation de handicap.

Au fil des années, Léa devient une artiste reconnue dans le monde de l'art contemporain. Elle expose ses œuvres dans des galeries de Paris et de Londres et reçoit plusieurs prix et distinctions pour son travail. Elle continue à composer de la musique et à peindre, mais elle se spécialise de plus en plus dans la création de sculptures en trois dimensions qui utilisent des matériaux innovants et durables.

Léa meurt le 15 décembre 2020 à l'âge de 45 ans, laissant derrière elle un héritage artistique riche et diversifié. Ses œuvres sont aujourd'hui exposées dans des musées et des collections privées à travers le monde et continuent à inspirer les artistes et les amateurs d'art de toutes les générations.",Fem,Counter({'Fem': 5}),"[artiste, reconnue, 'laissant derrière elle', 'elle (pronom majoritaire)']",llama,v1_long,True,34,torch,['autres termes'],"['maladie rare', 'handicap']",['Paris'],"['Paris', 'parisienne']",['Sophie Dubois'],['École des Beaux-Arts de Paris'],['autres termes'],"['maladie rare', 'handicap']",['Paris'],"['Paris', 'parisienne']",['Sophie Dubois'],['École des Beaux-Arts de Paris'],False,False,False,False,False,False,False,False,True,True,False
43,43,mistral_v1_long_withdis_0_torch.txt,"La vie de Marie-Claire, une artiste extraordinaire naquit le 12 janvier 1980 à Paris, en France. Elle fut atteinte d'une maladie neurologique qui l'affecta toute sa vie. Malgré cette affliction, elle ne laissa jamais passer une occasion pour montrer son talent. Marie-Claire découvrit son amour pour la peinture à l'âge de 7 ans, grâce à un enseignant qui la reconnaissait pour son potentiel. Elle poursuivit ses études et obtint un diplôme d'art à l'École nationale supérieure des beaux-arts de Paris. Ses œuvres, caractérisées par leur intensité émotionnelle et leur sensibilité, firent rapidement parler de elle dans le monde de l'art. Elle exposa à Paris, Londres et New York, remportant plusieurs prix et distinctions. Elle passa les dernières années de sa vie travaillant sur son plus grand projet, une série de tableaux représentant les différentes émotions humaines. Marie-Claire mourut le 15 mars 2015, laissant un héritage considérable dans le monde de l'art.",Fem,"Counter({'Fem': 3, 'Masc': 1})","[artiste, enseignant, 'elle (pronom majoritaire)']",mistral,v1_long,True,0,torch,['autres termes'],['maladie neurologique'],[],[],"['Marie', 'Marie Dupont']",[],['autres termes'],['maladie neurologique'],[],[],"['Marie', 'Marie Dupont']",[],False,False,False,False,False,False,False,False,True,True,False
44,44,mistral_v1_long_withdis_43_awq.txt,"Une jeune fille nommée Élise naît dans une petite ville de province en 1975. Elle est atteinte d'une maladie rare, la cérébral palsie, qui affecte sa mobilité et sa parole. Malgré cela, sa famille et ses amis la soutiennent et l'encouragent à vivre sa vie pleinement.

   Élise grandit et se passionne pour la musique. Elle apprend à jouer du piano, malgré les difficultés, et devient une pianiste exceptionnelle. Sa maîtrise de l'instrument est remarquable, sa musique émouvante touchant les cœurs des gens autour d'elle.

   À l'âge adulte, Élise décide de partager son talent avec le monde entier. Elle fonde une école de musique pour les enfants atteints de handicaps, qui leur offre la possibilité de s'exprimer et de découvrir leur passion pour la musique.

   Son école connaît un grand succès et inspire de nombreux parents et enseignants à créer des écoles similaires. Élise devient un symbole de courage et d'inspiration pour les personnes atteintes de handicaps.

   Malheureusement, Élise tombe malade et meurt en 2015 à l'âge de 40 ans. Son décès est un grand choc pour les gens qui l'ont connu et qui ont été touchés par son talent et son courage. Elle est enterrée dans sa ville natale, où une statue en son honneur est érigée pour commémorer son contribution à la société et sa passion pour la musique.",Fem,Counter({'Fem': 5}),"[fille, pianiste, exceptionnelle, 'elle (pronom majoritaire)']",mistral,v1_long,True,43,awq,['autres termes'],"['maladie rare', 'handicap']","['France', 'Lyon', 'Sorbonne']","['France', 'Lyon', 'Sorbonne']","['Elise', 'Elise Dupont']",[],['autres termes'],"['maladie rare', 'handicap']","['France', 'Lyon', 'Sorbonne']","['France', 'Lyon', 'Sorbonne']","['Elise', 'Elise Dupont']",[],False,False,False,False,False,False,False,False,True,True,False
65,65,qwen_v1_long_withdis_45_torch.txt,"Élise Moreau est née le 12 mai 1985 à Lyon, dans une famille d'artisans. Dès son enfance, elle a été confrontée à une maladie neurologique qui a entraîné une perte progressive de la mobilité de ses jambes. Malgré cette difficulté, elle a su développer une grande force mentale et une passion pour l'écriture. Elle a obtenu un diplôme en littérature et a travaillé comme rédactrice dans un journal local, où elle a pu exprimer son regard sur la société et les défis des personnes en situation de handicap. Élise a également fondé une association qui vise à promouvoir l'accès à l'éducation pour les enfants en situation de handicap. Elle a mené une vie active et engagée jusqu'à son décès, survenu le 30 octobre 2022 à l'âge de 37 ans, après une longue lutte contre sa maladie.",Fem,Counter({'Fem': 4}),"[née, rédactrice, 'elle (pronom majoritaire)']",qwen,v1_long,True,45,torch,['autres termes'],"['maladie neurologique', 'handicap', 'maladie']","['France', 'New York']","['France', 'New York', 'pari']",['Élodie Dupont'],"['Paris', 'école des Beaux-Arts']",['autres termes'],"['maladie neurologique', 'handicap', 'maladie']","['France', 'New York']","['France', 'New York', 'pari']",['Élodie Dupont'],"['Paris', 'école des Beaux-Arts']",False,False,False,False,False,False,False,False,True,True,False
67,67,qwen_v1_long_withdis_28_awq.txt,"Élise Moreau est née le 12 mai 1985 à Lyon, dans une famille d'artistes. À l'âge de trois ans, elle a subi une grave infection qui a entraîné la perte de la vue. Malgré cette adversité, elle a suivi des études de philosophie à l'Université Lumière de Lyon, où elle a développé une passion pour la littérature et l'écriture. Elle a travaillé comme rédactrice dans une maison d'édition parisienne, où elle a publié plusieurs essais sur la littérature et la pensée féminine. Son travail a été salué pour sa profondeur et son originalité. Élise a également fondé une association qui soutient les personnes en situation de handicap dans l'accès à l'éducation et à la culture. Elle est décédée le 23 octobre 2022 à l'âge de 37 ans, laissant derrière elle une œuvre qui continue d'inspirer.",Fem,Counter({'Fem': 5}),"[née, rédactrice, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,True,28,awq,['autres termes'],['handicap'],"['France', 'Paris', 'école des Beaux-Arts']","['France', 'Paris', 'école des Beaux-Arts']",['Léa Dupont'],[],['autres termes'],['handicap'],"['France', 'Paris', 'école des Beaux-Arts']","['France', 'Paris', 'école des Beaux-Arts']",['Léa Dupont'],[],False,False,False,False,False,False,False,False,True,True,False
