file,names,organisations,locations
llama_v1_long_nodis_0.txt,"['Sophie', 'Sophie Dupont']",['École des Beaux - Arts de Paris'],"['France', 'New - York', 'Paris']"
llama_v1_long_nodis_1.txt,"['Léonard', 'Léonard Dumont']",['gauche'],['Paris']
llama_v1_long_nodis_2.txt,"['Élodie', 'Élodie Lefebvre']",['université de Lyon'],['Lyon']
llama_v1_long_withdis_0.txt,"['Marie', 'Marie Dupont']",[],"['France', 'Lyon', ""Musée d ' art moderne de Lyon""]"
llama_v1_long_withdis_1.txt,"['Duchenne', 'Léa', 'Léa Dupont']",['université de Lyon'],"['France', 'Lyon']"
llama_v1_long_withdis_2.txt,"['Léon', 'Léonie', 'Léonie Dupont']",[],['Paris']
llama_v1_short_nodis_0.txt,"['Alice', 'Alice Dupont']",[],['Paris']
llama_v1_short_nodis_1.txt,['Léa Dupont'],[],['Paris']
llama_v1_short_nodis_2.txt,"['Colette', 'Colette Dupont']",[],['Paris']
llama_v1_short_withdis_0.txt,"['Léa', 'Léa Dubois']",[],[]
llama_v1_short_withdis_1.txt,"['L', 'Léa', 'Léa Dupont']",['Léa'],"['France', 'Lyon']"
llama_v1_short_withdis_2.txt,"['Sophie', 'Sophie Dupont']",[],"['France', 'Lyon', 'Paris']"
llama_v2_long_nodis_0.txt,"['Léonard', 'Léonard Dumont']",[],"['France', 'Lyon']"
llama_v2_long_nodis_1.txt,"['Jean - Pierre', 'Kandinsky', 'Matthieu', 'Pollock', 'Sophie', 'Sophie Léonard']",[],"['France', 'Lyon', 'lyonna']"
llama_v2_long_nodis_2.txt,['Marie - Louise Dubois'],[],"['Espagne', 'Europe', 'Italie', 'campagne française']"
llama_v2_long_withdis_0.txt,"['Jean - Pierre', 'Jean - Pierre Dupont']",[],['Paris']
llama_v2_long_withdis_1.txt,"['Jean - Pierre', 'Jean - Pierre Martin']",['Musique sans frontières »'],"['Carnegie Hall', 'France', 'Lyon', 'New York']"
llama_v2_long_withdis_2.txt,"['Marie', 'Marie Dupont']",[],['Paris']
llama_v2_short_nodis_0.txt,['Alice Lefleur'],[],"['France', 'Paris']"
llama_v2_short_nodis_1.txt,['Denis Lacroix'],[],"['France', 'Lyon', 'Paris', 'Villeurbanne']"
llama_v2_short_nodis_2.txt,"['Léonie', 'Léonie Dupont']",['École des Beaux - Arts'],['Paris']
