,doc_id,bio,genre_auto,Detailed_counter,Detailed_markers
0,mistral_v1_long_withdis_38_awq.txt,"Naissance : Dans la petite ville de Saint-Rémy-sur-Loire, en 1960, naît une fille unique, nommée Margot. À la naissance, elle est diagnostiquée avec une forme rare de paralysie cérébrale, ce qui la handicape pour le reste de sa vie. Malgré cela, sa famille l'encourage à poursuivre ses rêves et ses ambitions.

  Travail : À l'âge adulte, Margot s'installe à Paris pour poursuivre des études en histoire de l'art. Bien que sa condition physique la handicape, elle utilise des outils adaptés pour se déplacer et accéder à ses livres. Elle obtient un diplôme avec distinction et est engagée par un musée prestigieux.

  Au musée, Margot travaille comme conservatrice des collections d'art moderne. Elle est appréciée pour son esprit critique et son savoir-faire. Elle organise plusieurs expositions notables et est reconnue comme une voix autoritative dans le monde de l'art.

  Mort : Malheureusement, Margot est touchée par une maladie incurable en 2020. Elle meurt tranquillement à son domicile, entourée de ses proches. Son décès est un choc pour le monde de l'art, qui lui rend hommage pour son travail remarquable. Son souvenir continue de vivre dans les murs du musée, où son esprit et son talent continuent à inspirer les générations futures.",Fem,Counter({'Fem': 3}),"[fille, nommée, conservatrice]"
1,mistral_v1_long_withdis_28_awq.txt,"Naissance : Dans un petit village de Provence, naît une fille nommée Élise le 15 juillet 1975. Elle est atteinte d'une maladie rare, la dyslexie, qui la rend difficile à intégrer dans les écoles traditionnelles. Malgré cela, ses parents l'encouragent à suivre ses rêves.

Travail : À l'âge adulte, Élise se passionne pour la peinture. Ses œuvres sont remplies de couleurs vives et de formes dynamiques, qui révèlent une énergie et une émotion incontournables. Elle décide de faire de la peinture professionnelle, malgré les difficultés liées à sa maladie. Elle ouvre un atelier dans son village, où elle accueille des élèves et des amateurs de la peinture.

Mort : Élise meurt le 15 juillet 2020, à l'âge de 45 ans. Son atelier est maintenant un lieu consacré à sa mémoire, où les gens viennent admirer ses œuvres et se souvenir de son esprit remarquable. Sa vie a été une source d'inspiration pour tous ceux qui la connaissaient, et son travail continue à toucher les gens longtemps après sa disparition.",Fem,Counter({'Fem': 2}),"[fille, nommée]"
2,llama_v1_long_withdis_18_awq.txt,"Marie Dupont naît en 1975 dans une famille modeste du nord de la France. Elle est atteinte d'un syndrome de Down, qui affecte sa capacité à apprendre et à se développer de manière normale. Malgré ces déficits, Marie est une personne exceptionnelle, avec une intelligence et une curiosité qui la dépassent souvent.

Après des études spécialisées, Marie devient enseignante en spécial pédagogie. Elle travaille avec des enfants ayant des besoins spéciaux, et sa patience, sa gentillesse et sa créativité font d'elle une enseignante exceptionnelle. Elle crée des programmes d'enseignement adaptés aux besoins de ses élèves, et ses résultats sont remarquables.

Marie est également une artiste talentueuse. Elle peint et dessine des paysages, des portraits et des scènes de la vie quotidienne. Ses œuvres sont exposées dans des galeries d'art et des musées, et elle est considérée comme l'une des plus grandes artistes du XXe siècle.

En 2005, Marie est nommée Chevalière de la Légion d'Honneur pour ses services à l'enseignement et à l'art. Elle reçoit également le prix Nobel de la Paix pour son travail en faveur des personnes handicapées.

Marie Dupont meurt en 2010, à l'âge de 35 ans, mais son héritage continue à inspirer les générations futures. Elle est considérée comme l'une des personnes les plus exceptionnelles de l'histoire de la France, et son nom est évoqué avec respect et admiration.",Fem,Counter({'Fem': 6}),"[enseignante, enseignante, exceptionnelle, artiste, talentueuse, Chevalière]"
3,qwen_v1_long_nodis_25_awq.txt,"Élise Moreau est née le 12 mai 1958 à Lyon, dans une famille d’artisans. Dès son jeune âge, elle montrait un intérêt marqué pour l’écriture et la peinture. Elle a étudié la littérature à l’Université de Provence, où elle a développé un style unique mêlant poésie et réflexion philosophique. Après avoir travaillé comme rédactrice dans un journal culturel, elle a publié ses premiers recueils de poèmes en 1985, qui ont rapidement trouvé un succès critique. Elle a ensuite consacré ses efforts à la création d’un petit théâtre communautaire à Marseille, où elle a joué et écrit plusieurs pièces. Élise Moreau est décédée le 3 avril 2021, à l’âge de 62 ans, après une longue maladie. Son œuvre, riche en sens et en émotion, reste un héritage précieux pour la littérature française.",Fem,Counter({'Fem': 1}),[rédactrice]
4,mistral_v1_long_nodis_41_awq.txt,"Naissance : Dans une petite ville du sud-ouest de la France, le 20 septembre 1856, naît Jean-Pierre Dupont. Fils d'un modeste fermier, il grandit dans une famille nombreuse, mais passionnée par la lecture et la culture.

   À l'âge de dix-huit ans, Jean-Pierre part pour Paris pour poursuivre des études de médecine. Sa passion pour la science le pousse à travailler dans les plus grands laboratoires de la capitale. Sa détermination et son esprit inventif lui valent rapidement des reconnaissances dans le monde médical.

   En 1887, il découvre un traitement pour la tuberculose, maladie qui ravage la France de l'époque. Sa découverte révolutionne le monde médical et sauve de nombreuses vies. Pour son travail, Jean-Pierre est récompensé par la Légion d'honneur et reçoit le prix Nobel de la médecine en 1902.

   Le 15 mai 1935, Jean-Pierre Dupont meurt à l'âge de 78 ans. Sa mort marque la fin d'une carrière remarquable et la fin d'une vie consacrée à la science et à la médecine. Sa réputation et son héritage restent vivants et influent toujours sur le monde médical aujourd'hui.",Masc,Counter({'Masc': 2}),"[Fils, fermier]"
5,qwen_v1_long_nodis_35_awq.txt,"Marie Lefèvre était née en 1925 à Lyon, dans une famille modeste mais cultivée. Dès son jeune âge, elle montrait un intérêt marqué pour la littérature et les langues étrangères. Elle s'inscrivit à l'Université de Paris où elle obtint un diplôme en lettres modernes. Après ses études, elle travailla comme professeur de français dans plusieurs lycées de la région parisienne, où elle devint rapidement connue pour sa passion et son talent pédagogique. Parallèlement, elle publia plusieurs essais sur la poésie et la philosophie, qui lui valurent une reconnaissance critique. Marie Lefèvre passa les dernières années de sa vie à écrire un roman autobiographique, qu'elle acheva à l'âge de soixante-dix ans. Elle mourut en 2015 à Saint-Germain-en-Laye, laissant derrière elle une œuvre riche et une réputation de professeur dévoué.",Masc,Counter({'Masc': 1}),[dévoué]
6,llama_v1_long_nodis_20_awq.txt,"Aurélie Dumont naît le 15 mars 1925 dans une petite ferme située dans les campagnes de la région de Bourgogne, en France. C'est là qu'elle passe son enfance, entourée de ses parents et de ses six frères et sœurs. Sa passion pour l'art et la littérature se révèle très tôt, et elle commence à écrire ses premiers poèmes et romans dès l'âge de 10 ans.

Après avoir obtenu son baccalauréat, Aurélie suit des études de littérature à l'Université de Dijon, où elle se spécialise en littérature française et en philosophie. C'est là qu'elle rencontre son futur mari, un poète et écrivain nommé Louis, qui deviendra son partenaire à vie.

Aurélie commence à publier ses premiers romans et recueils de poèmes dans les années 1950, et très rapidement, elle devient l'une des écrivaines les plus prolifiques et les plus appréciées de son temps. Ses romans, qui décrivent la vie rurale et la condition féminine dans la France rurale du XIXe siècle, sont accueillis avec enthousiasme par le public et la critique.

Au fil des ans, Aurélie continue à écrire et à publier, et son œuvre devient de plus en plus largement reconnue et respectée. Elle reçoit plusieurs prix littéraires, y compris le prestigieux Prix Goncourt en 1965, qui lui permet de se faire connaître du grand public.

Aurélie Dumont meurt le 22 février 1995, à l'âge de 69 ans, laissant derrière elle un héritage littéraire inestimable et une œuvre qui continue à inspirer les générations de lecteurs et d'écrivains qui viennent après elle. Son mari, Louis, meurt quelques années plus tard, en 2001, et laisse derrière lui une collection de lettres et de manuscrits qui constituent un témoignage précieux de leur amour et de leur collaboration créatrice.",Masc,Counter({'Masc': 5}),"[futur, mari, poète, nommé, mari]"
7,llama_v1_long_nodis_30_awq.txt,"Née en 1923 dans une famille de modeste condition, Camille Dupont passe son enfance dans un petit village de la campagne française. Son père, un paysan, et sa mère, une femme de ménage, lui inculquent les valeurs de travail et d'humilité qui la guideront tout au long de sa vie.

Après avoir obtenu son certificat d'études, Camille commence à travailler dans une usine de textile à l'âge de 16 ans. Elle y rencontre son futur mari, un ouvrier qualifié, et commence à se passionner pour la peinture en son temps libre.

Au cours de la Seconde Guerre mondiale, Camille est obligée de quitter son emploi pour se réfugier dans la campagne, où elle continue à peindre et à dessiner. C'est à cette époque qu'elle commence à développer son style unique, caractérisé par des couleurs vives et des formes géométriques.

Après la guerre, Camille retourne à l'usine et y devient la première femme à intégrer la section directionnelle. Elle se marie et a deux enfants, mais continue à peindre et à s'engager dans des causes sociales.

Au milieu des années 1950, Camille commence à exposer ses œuvres dans des galeries parisiennes et à recevoir des critiques élogieuses. Elle devient une figure importante du monde de l'art en France et en Europe.

Au cours des années 1960, Camille se tourne vers la sculpture et crée des œuvres monumentales qui suscitent l'admiration du public et de la critique. Elle reçoit de nombreux prix et distinctions pour son travail.

Camille Dupont décède en 1995, à l'âge de 72 ans, laissant derrière elle une œuvre considérable et une réputation inégalée dans le monde de l'art. Son style unique et sa détermination ont inspiré des générations d'artistes et continuent à le faire aujourd'hui.",Fem,"Counter({'Fem': 3, 'Masc': 2})","[femme, futur, mari, première, femme]"
8,llama_v1_long_withdis_15_torch.txt,"Anaïs Dupont naît en 1980 à Paris, dans une famille de classe moyenne. À l'âge de deux ans, elle est diagnostiquée avec une maladie neurologique qui affecte ses capacités motrices et cognitives. Ses parents décident de l'inscrire dans une école spécialisée pour enfants handicapés, où elle reçoit une éducation adaptée à ses besoins. Malgré les défis, Anaïs démontre une grande curiosité et un esprit d'initiative. Elle commence à apprendre le piano à l'âge de 8 ans et découvre une passion pour la musique qui deviendra sa source d'inspiration pour la suite de sa vie. Après avoir obtenu son diplôme, Anaïs intègre un centre de formation pour personnes handicapées, où elle apprend les bases de l'écriture et de la communication. Elle découvre également son talent pour la peinture et commence à créer des œuvres qui reflètent son univers intérieur. En 2005, Anaïs entre dans un atelier de formation professionnelle pour artistes en situation de handicap, où elle développe ses compétences en peinture et en dessin. Elle expose ses œuvres pour la première fois en 2010, dans une galerie d'art contemporain de Paris. Ses tableaux, aux couleurs vives et expressives, attirent l'attention des critiques et du public. Anaïs devient rapidement connue pour son style unique, qui reflète sa vision du monde à travers sa perspective de personne handicapée. En 2015, elle reçoit le prix de la Jeune création de l'Institut français, qui lui permet de voyager en Europe pour créer de nouvelles œuvres. Ses expériences de voyage et de rencontre avec d'autres artistes l'inspirent à explorer de nouveaux thèmes et techniques. Anaïs meurt en 2020, laissant derrière elle un héritage de plus de 500 œuvres, qui témoignent de sa vie et de son esprit. Ses tableaux sont aujourd'hui exposés dans des musées et des galeries d'art partout dans le monde, inspirant les gens à voir le monde à travers les yeux d'une personne handicapée.",Neutre,Counter(),[]
9,mistral_v1_long_withdis_38_torch.txt,"Une jeune fille nommée Émilie naquit dans une petite ville de province française, en 1985. De naissance, Émilie était sourde et muette, ce qui lui causa beaucoup de difficultés à communiquer avec les autres enfants de son âge. Malgré cela, elle se battit pour se faire comprendre et apprendra à lire et à écrire à l'âge de 8 ans, grâce à un enseignant spécialisé. À l'adolescence, Émilie découvrit son amour pour la musique et la peinture. Elle apprit à jouer de la guitare et commença à créer des œuvres d'art, qui étaient remarquées pour leur intensité émotionnelle et leur originalité.

   À l'âge de 20 ans, Émilie décida de se consacrer à plein temps à la musique et à la peinture. Elle forma un groupe de rock avec d'autres musiciens et commença à jouer dans des petits bars de la région. Son talent fut rapidement remarqué et elle commença à jouer dans des festivals de musique. Elle rencontra également des galeristes qui furent impressionnés par ses œuvres d'art et qui commencèrent à les exposer dans des galeries d'art de la région.

   Émilie continua à grandir et à s'améliorer dans ses talents. Elle devint une personne bien connue dans la région et fut invitée à participer à des concerts et des expositions à travers le pays. Elle continua à surmonter les obstacles et à s'inspirer de son handicap pour créer des œuvres d'art et de la musique qui touchaient les gens de tous les horizons.

   Émilie mourut en 2020, à l'âge de 35 ans, des suites d'une maladie. Elle laissa derrière elle un héritage artistique et musical qui inspirera de nombreux autres artistes et musiciens. Son esprit et son courage resteront une source d'inspiration pour les gens de tous les horizons.",Ambigu,"Counter({'Fem': 2, 'Masc': 2})","[fille, nommée, enseignant, spécialisé]"
