timestamp,node,bmc_power_watt,gpu_power_watt,gpu_power_limit_watt
2026-05-20T22:37:14+02:00,gruss-2,N/A,59.05,300.00
2026-05-20T22:37:25+02:00,gruss-2,N/A,32.70,300.00
2026-05-20T22:37:36+02:00,gruss-2,N/A,32.69,300.00
2026-05-20T22:37:46+02:00,gruss-2,N/A,32.61,300.00
2026-05-20T22:37:57+02:00,gruss-2,N/A,32.70,300.00
2026-05-20T22:38:07+02:00,gruss-2,N/A,106.40,300.00
2026-05-20T22:38:31+02:00,gruss-2,N/A,107.16,300.00
2026-05-20T22:38:42+02:00,gruss-2,N/A,107.94,300.00
2026-05-20T22:38:52+02:00,gruss-2,N/A,203.89,300.00
2026-05-20T22:39:03+02:00,gruss-2,N/A,236.71,300.00
2026-05-20T22:39:13+02:00,gruss-2,N/A,247.37,300.00
2026-05-20T22:39:24+02:00,gruss-2,N/A,244.79,300.00
2026-05-20T22:39:34+02:00,gruss-2,N/A,252.46,300.00
2026-05-20T22:39:44+02:00,gruss-2,N/A,246.91,300.00
2026-05-20T22:39:55+02:00,gruss-2,N/A,250.24,300.00
2026-05-20T22:40:05+02:00,gruss-2,N/A,251.62,300.00
2026-05-20T22:40:15+02:00,gruss-2,N/A,258.16,300.00
2026-05-20T22:40:26+02:00,gruss-2,N/A,256.01,300.00
2026-05-20T22:40:36+02:00,gruss-2,N/A,257.34,300.00
2026-05-20T22:40:47+02:00,gruss-2,N/A,262.81,300.00
2026-05-20T22:40:57+02:00,gruss-2,N/A,262.96,300.00
2026-05-20T22:41:07+02:00,gruss-2,N/A,263.00,300.00
2026-05-20T22:41:18+02:00,gruss-2,N/A,262.46,300.00
2026-05-20T22:41:29+02:00,gruss-2,N/A,256.84,300.00
2026-05-20T22:41:39+02:00,gruss-2,N/A,258.75,300.00
2026-05-20T22:41:49+02:00,gruss-2,N/A,266.35,300.00
2026-05-20T22:42:00+02:00,gruss-2,N/A,266.90,300.00
2026-05-20T22:42:10+02:00,gruss-2,N/A,268.25,300.00
2026-05-20T22:42:20+02:00,gruss-2,N/A,264.00,300.00
2026-05-20T22:42:31+02:00,gruss-2,N/A,262.90,300.00
2026-05-20T22:42:41+02:00,gruss-2,N/A,261.26,300.00
2026-05-20T22:42:52+02:00,gruss-2,N/A,257.43,300.00
2026-05-20T22:43:02+02:00,gruss-2,N/A,260.41,300.00
2026-05-20T22:43:12+02:00,gruss-2,N/A,265.67,300.00
2026-05-20T22:43:23+02:00,gruss-2,N/A,262.84,300.00
2026-05-20T22:43:33+02:00,gruss-2,N/A,263.50,300.00
2026-05-20T22:43:44+02:00,gruss-2,N/A,264.55,300.00
2026-05-20T22:43:55+02:00,gruss-2,N/A,261.96,300.00
2026-05-20T22:44:05+02:00,gruss-2,N/A,255.87,300.00
2026-05-20T22:44:16+02:00,gruss-2,N/A,261.43,300.00
2026-05-20T22:44:26+02:00,gruss-2,N/A,264.58,300.00
2026-05-20T22:44:36+02:00,gruss-2,N/A,263.38,300.00
2026-05-20T22:44:47+02:00,gruss-2,N/A,262.60,300.00
2026-05-20T22:44:57+02:00,gruss-2,N/A,257.18,300.00
2026-05-20T22:45:07+02:00,gruss-2,N/A,264.94,300.00
2026-05-20T22:45:18+02:00,gruss-2,N/A,261.46,300.00
2026-05-20T22:45:28+02:00,gruss-2,N/A,261.29,300.00
2026-05-20T22:45:38+02:00,gruss-2,N/A,255.76,300.00
2026-05-20T22:45:49+02:00,gruss-2,N/A,256.32,300.00
2026-05-20T22:45:59+02:00,gruss-2,N/A,257.03,300.00
2026-05-20T22:46:10+02:00,gruss-2,N/A,262.63,300.00
2026-05-20T22:46:20+02:00,gruss-2,N/A,262.85,300.00
2026-05-20T22:46:30+02:00,gruss-2,N/A,263.76,300.00
2026-05-20T22:46:41+02:00,gruss-2,N/A,265.99,300.00
2026-05-20T22:46:51+02:00,gruss-2,N/A,262.08,300.00
2026-05-20T22:47:01+02:00,gruss-2,N/A,268.16,300.00
2026-05-20T22:47:12+02:00,gruss-2,N/A,257.08,300.00
2026-05-20T22:47:22+02:00,gruss-2,N/A,258.43,300.00
2026-05-20T22:47:33+02:00,gruss-2,N/A,264.04,300.00
2026-05-20T22:47:43+02:00,gruss-2,N/A,256.43,300.00
2026-05-20T22:47:53+02:00,gruss-2,N/A,256.02,300.00
2026-05-20T22:48:04+02:00,gruss-2,N/A,257.31,300.00
2026-05-20T22:48:14+02:00,gruss-2,N/A,254.42,300.00
2026-05-20T22:48:24+02:00,gruss-2,N/A,257.62,300.00
2026-05-20T22:48:35+02:00,gruss-2,N/A,257.19,300.00
2026-05-20T22:48:45+02:00,gruss-2,N/A,257.31,300.00
2026-05-20T22:48:56+02:00,gruss-2,N/A,263.71,300.00
2026-05-20T22:49:06+02:00,gruss-2,N/A,256.89,300.00
2026-05-20T22:49:16+02:00,gruss-2,N/A,259.18,300.00
2026-05-20T22:49:27+02:00,gruss-2,N/A,262.93,300.00
2026-05-20T22:49:37+02:00,gruss-2,N/A,256.93,300.00
2026-05-20T22:49:48+02:00,gruss-2,N/A,259.99,300.00
2026-05-20T22:49:58+02:00,gruss-2,N/A,257.75,300.00
2026-05-20T22:50:08+02:00,gruss-2,N/A,263.14,300.00
2026-05-20T22:50:19+02:00,gruss-2,N/A,257.82,300.00
2026-05-20T22:50:29+02:00,gruss-2,N/A,255.69,300.00
2026-05-20T22:50:39+02:00,gruss-2,N/A,258.08,300.00
2026-05-20T22:50:50+02:00,gruss-2,N/A,255.63,300.00
2026-05-20T22:51:00+02:00,gruss-2,N/A,256.67,300.00
2026-05-20T22:51:10+02:00,gruss-2,N/A,258.92,300.00
2026-05-20T22:51:21+02:00,gruss-2,N/A,262.34,300.00
2026-05-20T22:51:31+02:00,gruss-2,N/A,262.41,300.00
2026-05-20T22:51:42+02:00,gruss-2,N/A,260.26,300.00
2026-05-20T22:51:52+02:00,gruss-2,N/A,264.16,300.00
2026-05-20T22:52:02+02:00,gruss-2,N/A,263.19,300.00
2026-05-20T22:52:13+02:00,gruss-2,N/A,265.16,300.00
2026-05-20T22:52:23+02:00,gruss-2,N/A,256.89,300.00
2026-05-20T22:52:33+02:00,gruss-2,N/A,262.64,300.00
2026-05-20T22:52:44+02:00,gruss-2,N/A,258.76,300.00
2026-05-20T22:52:54+02:00,gruss-2,N/A,262.27,300.00
2026-05-20T22:53:04+02:00,gruss-2,N/A,261.01,300.00
2026-05-20T22:53:15+02:00,gruss-2,N/A,258.90,300.00
2026-05-20T22:53:25+02:00,gruss-2,N/A,260.90,300.00
2026-05-20T22:53:36+02:00,gruss-2,N/A,260.77,300.00
2026-05-20T22:53:46+02:00,gruss-2,N/A,256.72,300.00
2026-05-20T22:53:57+02:00,gruss-2,N/A,261.85,300.00
2026-05-20T22:54:07+02:00,gruss-2,N/A,262.77,300.00
2026-05-20T22:54:17+02:00,gruss-2,N/A,259.67,300.00
2026-05-20T22:54:28+02:00,gruss-2,N/A,263.11,300.00
2026-05-20T22:54:38+02:00,gruss-2,N/A,262.72,300.00
2026-05-20T22:54:48+02:00,gruss-2,N/A,262.42,300.00
2026-05-20T22:54:59+02:00,gruss-2,N/A,260.05,300.00
2026-05-20T22:55:09+02:00,gruss-2,N/A,262.96,300.00
2026-05-20T22:55:19+02:00,gruss-2,N/A,262.48,300.00
2026-05-20T22:55:30+02:00,gruss-2,N/A,263.40,300.00
2026-05-20T22:55:40+02:00,gruss-2,N/A,266.36,300.00
2026-05-20T22:55:51+02:00,gruss-2,N/A,264.68,300.00
2026-05-20T22:56:01+02:00,gruss-2,N/A,262.82,300.00
2026-05-20T22:56:11+02:00,gruss-2,N/A,265.74,300.00
2026-05-20T22:56:22+02:00,gruss-2,N/A,263.15,300.00
2026-05-20T22:56:32+02:00,gruss-2,N/A,263.55,300.00
2026-05-20T22:56:43+02:00,gruss-2,N/A,264.69,300.00
2026-05-20T22:56:53+02:00,gruss-2,N/A,265.66,300.00
2026-05-20T22:57:03+02:00,gruss-2,N/A,265.91,300.00
