timestamp, power.draw [W]
2026/04/20 22:13:44.013, 8.60 W
2026/04/20 22:13:54.016, 8.31 W
2026/04/20 22:14:04.020, 8.50 W
2026/04/20 22:14:14.023, 14.55 W
2026/04/20 22:14:24.031, 8.89 W
2026/04/20 22:14:34.035, 8.30 W
2026/04/20 22:14:44.038, 8.40 W
2026/04/20 22:14:54.042, 8.21 W
2026/04/20 22:15:04.045, 8.41 W
2026/04/20 22:15:14.048, 8.40 W
2026/04/20 22:15:24.052, 8.40 W
2026/04/20 22:15:34.055, 8.40 W
2026/04/20 22:15:44.058, 8.11 W
2026/04/20 22:15:54.061, 8.60 W
2026/04/20 22:16:04.064, 8.79 W
2026/04/20 22:16:14.067, 8.40 W
2026/04/20 22:16:24.071, 8.11 W
2026/04/20 22:16:34.074, 8.50 W
2026/04/20 22:16:44.077, 8.21 W
2026/04/20 22:16:54.080, 8.69 W
2026/04/20 22:17:04.083, 8.31 W
2026/04/20 22:17:14.087, 8.50 W
2026/04/20 22:17:24.090, 8.50 W
2026/04/20 22:17:34.094, 8.30 W
2026/04/20 22:17:44.097, 8.60 W
2026/04/20 22:17:54.101, 8.60 W
2026/04/20 22:18:04.104, 9.18 W
2026/04/20 22:18:14.108, 8.60 W
2026/04/20 22:18:24.111, 8.40 W
2026/04/20 22:18:34.114, 8.11 W
2026/04/20 22:18:44.117, 8.50 W
2026/04/20 22:18:54.120, 8.40 W
2026/04/20 22:19:04.123, 8.50 W
2026/04/20 22:19:14.127, 8.50 W
2026/04/20 22:19:24.129, 8.70 W
2026/04/20 22:19:34.133, 8.30 W
2026/04/20 22:19:44.136, 8.31 W
2026/04/20 22:19:54.139, 8.21 W
2026/04/20 22:20:04.143, 8.60 W
2026/04/20 22:20:14.146, 8.50 W
2026/04/20 22:20:24.149, 8.50 W
2026/04/20 22:20:34.152, 8.50 W
2026/04/20 22:20:44.155, 8.40 W
2026/04/20 22:20:54.159, 8.69 W
2026/04/20 22:21:04.162, 8.40 W
2026/04/20 22:21:14.165, 8.40 W
2026/04/20 22:21:24.168, 8.40 W
2026/04/20 22:21:34.171, 8.21 W
2026/04/20 22:21:44.175, 11.72 W
2026/04/20 22:21:54.178, 8.69 W
2026/04/20 22:22:04.181, 8.51 W
2026/04/20 22:22:14.184, 8.60 W
2026/04/20 22:22:24.187, 8.60 W
2026/04/20 22:22:34.191, 8.99 W
2026/04/20 22:22:44.194, 8.30 W
2026/04/20 22:22:54.198, 8.60 W
2026/04/20 22:23:04.201, 8.60 W
2026/04/20 22:23:14.204, 8.50 W
2026/04/20 22:23:24.207, 9.28 W
2026/04/20 22:23:34.210, 8.40 W
2026/04/20 22:23:44.213, 8.30 W
2026/04/20 22:23:54.216, 8.11 W
2026/04/20 22:24:04.220, 8.40 W
2026/04/20 22:24:14.223, 8.40 W
2026/04/20 22:24:24.227, 8.40 W
2026/04/20 22:24:34.229, 8.11 W
2026/04/20 22:24:44.232, 8.50 W
2026/04/20 22:24:54.236, 8.40 W
2026/04/20 22:25:04.239, 8.30 W
2026/04/20 22:25:14.242, 8.30 W
2026/04/20 22:25:24.244, 12.69 W
2026/04/20 22:25:34.248, 8.50 W
2026/04/20 22:25:44.251, 8.50 W
2026/04/20 22:25:54.254, 8.50 W
2026/04/20 22:26:04.258, 8.21 W
2026/04/20 22:26:14.261, 12.11 W
2026/04/20 22:26:24.264, 8.60 W
2026/04/20 22:26:34.267, 8.50 W
2026/04/20 22:26:44.270, 8.90 W
2026/04/20 22:26:54.273, 8.79 W
2026/04/20 22:27:04.277, 8.70 W
2026/04/20 22:27:14.280, 9.09 W
2026/04/20 22:27:24.283, 8.89 W
2026/04/20 22:27:34.288, 8.60 W
2026/04/20 22:27:44.291, 8.40 W
2026/04/20 22:27:54.294, 8.31 W
2026/04/20 22:28:04.298, 8.50 W
2026/04/20 22:28:14.301, 8.40 W
2026/04/20 22:28:24.304, 8.70 W
2026/04/20 22:28:34.307, 8.31 W
2026/04/20 22:28:44.310, 8.41 W
2026/04/20 22:28:54.313, 8.41 W
2026/04/20 22:29:04.316, 8.60 W
2026/04/20 22:29:14.319, 8.50 W
